trade_id,timestamp,action,symbol,side,qty,price,stop_loss,exit_reason,pnl
20251006_173411_CALL_260,2025-10-06 17:34:11,ENTRY,CALL_OPTION,CALL,75,260.3,24757.5,,
20251006_173411_CALL_260,2025-10-06 17:34:11,EXIT,CALL_OPTION,CALL,75,24757.5,,SL_HIT,1837290.0
20251006_173411_CALL_267,2025-10-06 17:34:11,ENTRY,CALL_OPTION,CALL,75,267.9,24757.5,,
20251006_173411_CALL_267,2025-10-06 17:34:11,EXIT,CALL_OPTION,CALL,75,24757.5,,SL_HIT,1836720.0
20251006_173411_CALL_270,2025-10-06 17:34:11,ENTRY,CALL_OPTION,CALL,75,270.25,24757.5,,
20251006_173411_CALL_270,2025-10-06 17:34:11,EXIT,CALL_OPTION,CALL,75,24757.5,,SL_HIT,1836543.75
20251006_173411_CALL_270,2025-10-06 17:34:11,ENTRY,CALL_OPTION,CALL,75,270.85,24757.5,,
20251006_173411_CALL_270,2025-10-06 17:34:11,EXIT,CALL_OPTION,CALL,75,24757.5,,SL_HIT,1836498.75
20251006_173411_CALL_283,2025-10-06 17:34:11,ENTRY,CALL_OPTION,CALL,75,283.15,24757.5,,
20251006_173411_CALL_283,2025-10-06 17:34:11,EXIT,CALL_OPTION,CALL,75,24757.5,,SL_HIT,1835576.25
20251006_173411_CALL_259,2025-10-06 17:34:11,ENTRY,CALL_OPTION,CALL,75,259.1,24757.5,,
20251006_173411_CALL_259,2025-10-06 17:34:11,EXIT,CALL_OPTION,CALL,75,24757.5,,SL_HIT,1837380.0
20251006_173411_CALL_251,2025-10-06 17:34:11,ENTRY,CALL_OPTION,CALL,75,251.45,24757.5,,
20251006_173411_CALL_251,2025-10-06 17:34:11,EXIT,CALL_OPTION,CALL,75,24757.5,,SL_HIT,1837953.75
20251006_173411_CALL_267,2025-10-06 17:34:11,ENTRY,CALL_OPTION,CALL,75,267.6,24757.5,,
20251006_173411_CALL_267,2025-10-06 17:34:11,EXIT,CALL_OPTION,CALL,75,24757.5,,SL_HIT,1836742.5
20251006_173411_CALL_270,2025-10-06 17:34:11,ENTRY,CALL_OPTION,CALL,75,270.7,24757.5,,
20251006_173411_CALL_270,2025-10-06 17:34:11,EXIT,CALL_OPTION,CALL,75,24757.5,,SL_HIT,1836510.0
20251006_173411_CALL_277,2025-10-06 17:34:11,ENTRY,CALL_OPTION,CALL,75,277.9,24757.5,,
20251006_173411_CALL_277,2025-10-06 17:34:11,EXIT,CALL_OPTION,CALL,75,24757.5,,SL_HIT,1835970.0
20251006_173411_CALL_263,2025-10-06 17:34:11,ENTRY,CALL_OPTION,CALL,75,263.0,24757.5,,
20251006_173411_CALL_263,2025-10-06 17:34:11,EXIT,CALL_OPTION,CALL,75,24757.5,,SL_HIT,1837087.5
20251006_173411_CALL_268,2025-10-06 17:34:11,ENTRY,CALL_OPTION,CALL,75,268.0,24757.5,,
20251006_173411_CALL_268,2025-10-06 17:34:11,EXIT,CALL_OPTION,CALL,75,24757.5,,SL_HIT,1836712.5
20251006_173411_CALL_268,2025-10-06 17:34:11,ENTRY,CALL_OPTION,CALL,75,268.95,24757.5,,
