datetime,nifty_open,nifty_high,nifty_low,nifty_close,call_open,call_high,call_low,call_close,put_open,put_high,put_low,put_close
2025-10-07 09:15:00+05:30,25085.3,25139.7,25085.3,25122.45,105.0,136.65,105.0,129.3,290.25,291.7,275.75,283.3
2025-10-07 09:16:00+05:30,25120.45,25132.85,25117.75,25130.2,129.3,134.0,125.4,132.75,283.3,288.3,278.95,280.3
2025-10-07 09:17:00+05:30,25130.6,25131.3,25097.75,25097.75,132.75,136.85,117.85,117.85,280.3,297.0,277.6,297.0
2025-10-07 09:18:00+05:30,25099.45,25100.0,25085.7,25090.65,117.85,120.55,110.4,114.85,297.0,309.75,296.4,304.4
2025-10-07 09:19:00+05:30,25090.85,25090.85,25083.5,25084.9,114.85,115.4,107.7,110.0,304.4,313.55,304.4,311.35
2025-10-07 09:20:00+05:30,25083.7,25097.7,25076.3,25083.6,110.0,118.6,107.05,111.15,311.35,314.95,300.95,308.0
2025-10-07 09:21:00+05:30,25083.9,25108.45,25082.5,25107.5,111.15,122.85,109.75,122.0,308.0,310.85,293.1,294.3
2025-10-07 09:22:00+05:30,25106.25,25117.35,25105.4,25115.7,122.0,130.8,117.9,129.0,294.3,297.9,283.4,284.4
2025-10-07 09:23:00+05:30,25115.4,25120.6,25112.7,25115.8,129.0,133.5,127.1,128.8,284.4,287.15,280.0,286.3
2025-10-07 09:24:00+05:30,25113.85,25114.7,25104.3,25111.15,128.8,128.8,120.0,125.35,286.3,297.05,286.3,286.3
2025-10-07 09:25:00+05:30,25110.6,25115.45,25104.45,25115.45,125.35,130.3,121.2,130.3,286.3,294.2,282.9,282.9
2025-10-07 09:26:00+05:30,25114.5,25117.75,25104.95,25105.5,130.3,131.1,120.3,120.8,282.9,295.0,282.9,293.2
2025-10-07 09:27:00+05:30,25107.9,25108.0,25094.9,25101.6,120.8,123.3,114.1,120.1,293.2,301.65,291.95,296.0
2025-10-07 09:28:00+05:30,25101.7,25109.7,25100.5,25108.3,120.1,127.65,118.4,126.1,296.0,297.05,286.5,286.5
2025-10-07 09:29:00+05:30,25108.8,25120.95,25108.8,25119.05,126.1,134.25,126.1,132.5,286.5,287.45,277.3,280.25
2025-10-07 09:30:00+05:30,25119.9,25124.2,25110.05,25111.65,132.5,136.2,124.5,126.0,280.25,289.0,276.5,286.5
2025-10-07 09:31:00+05:30,25111.25,25119.8,25106.4,25119.25,126.0,135.35,123.6,133.8,286.5,290.4,276.4,277.95
2025-10-07 09:32:00+05:30,25119.2,25123.15,25116.25,25117.25,133.8,139.45,131.65,134.5,277.95,280.0,272.0,278.2
2025-10-07 09:33:00+05:30,25117.15,25121.4,25112.05,25121.1,134.5,136.0,126.65,134.05,278.2,285.45,275.9,277.0
2025-10-07 09:34:00+05:30,25120.5,25122.5,25116.5,25118.55,134.05,135.95,130.7,134.85,277.0,281.95,276.0,278.25
2025-10-07 09:35:00+05:30,25117.9,25120.8,25114.4,25118.5,134.85,136.2,129.1,134.75,278.25,283.75,276.45,277.9
2025-10-07 09:36:00+05:30,25118.6,25121.0,25114.15,25120.15,135.3,136.0,129.25,135.55,277.9,282.7,276.2,276.2
2025-10-07 09:37:00+05:30,25121.2,25129.5,25118.1,25129.1,134.75,145.0,133.0,142.6,276.2,278.5,265.15,269.05
2025-10-07 09:38:00+05:30,25128.2,25134.45,25127.6,25129.05,142.6,148.7,142.0,143.9,269.05,269.05,261.8,266.8
2025-10-07 09:39:00+05:30,25128.6,25133.4,25128.6,25133.1,143.9,147.75,143.9,146.6,266.8,266.8,262.0,263.2
2025-10-07 09:40:00+05:30,25131.6,25141.65,25131.6,25141.65,146.6,154.75,146.6,154.75,263.2,263.3,255.0,255.75
2025-10-07 09:41:00+05:30,25141.4,25143.5,25137.15,25139.7,154.35,157.55,150.4,152.4,255.0,259.3,251.75,256.8
2025-10-07 09:42:00+05:30,25140.1,25142.8,25134.45,25135.2,152.4,154.75,148.8,150.7,256.8,261.15,254.8,259.7
2025-10-07 09:43:00+05:30,25135.4,25139.95,25133.95,25139.45,150.7,154.5,149.0,153.45,259.7,260.4,255.0,256.6
2025-10-07 09:44:00+05:30,25139.35,25148.15,25138.65,25146.05,153.45,161.5,152.75,159.75,256.6,256.6,246.6,248.9
2025-10-07 09:45:00+05:30,25146.5,25149.9,25144.15,25145.7,159.75,164.7,156.85,160.0,248.9,251.9,244.7,249.6
2025-10-07 09:46:00+05:30,25144.4,25147.95,25142.5,25147.9,160.0,160.45,156.75,157.85,249.2,252.45,248.75,250.75
2025-10-07 09:47:00+05:30,25146.25,25156.15,25144.95,25154.45,157.9,172.6,156.7,171.75,250.75,250.85,235.6,235.6
2025-10-07 09:48:00+05:30,25156.05,25166.85,25156.05,25163.65,171.75,184.45,171.75,180.7,236.8,236.8,225.8,228.5
2025-10-07 09:49:00+05:30,25163.6,25166.6,25160.25,25161.05,180.7,183.3,178.4,180.6,228.5,231.0,226.0,228.25
2025-10-07 09:50:00+05:30,25160.4,25164.7,25159.35,25163.3,180.6,183.6,177.0,182.0,228.25,232.5,226.0,227.45
2025-10-07 09:51:00+05:30,25163.8,25186.15,25163.8,25182.55,182.0,204.0,181.75,198.9,227.45,227.55,205.35,209.9
2025-10-07 09:52:00+05:30,25182.6,25182.75,25171.4,25173.85,198.8,200.5,190.25,192.65,209.9,219.0,208.75,215.95
2025-10-07 09:53:00+05:30,25173.75,25178.4,25171.45,25178.4,192.65,197.85,191.45,197.85,215.95,217.8,211.55,211.55
2025-10-07 09:54:00+05:30,25178.0,25180.55,25175.2,25178.25,197.85,199.55,195.3,198.05,211.55,213.8,209.65,211.1
2025-10-07 09:55:00+05:30,25178.7,25193.85,25176.3,25192.9,198.05,213.75,196.0,212.35,211.1,213.35,196.5,197.5
